cnpj_basico,identificador_matriz_filial,nome_fantasia,tipo_logradouro,logradouro,numero,bairro,cep,uf,municipio,cnae_fiscal_principal,cnae_fiscal_secundaria
09570038,2,,SITIO,RENASCER,SN,LAPA,13390000,SP,6981,0113000,
09657959,2,,ESTRADA,VELHA SANTA BRANCA,SN,DOS FONSECAS,12380000,SP,7021,0210101,
09635968,2,,SITIO,VISTA ALEGRE,S/N,ZONA RURAL,14780970,SP,6209,0111302,"0151201,0151202"
12122571,2,,SITIO,SANTA RITA,S/N,CORREGO DA ONCA,19015970,SP,6929,0121101,
10204928,1,,SITIO,SANTA CLARA,SN,BOCAINA,13770000,SP,6275,0134200,0142300
10463319,2,,FAZENDA,RETIRO FELIZ,S/N,ZONA RURAL,19500000,SP,6685,0115600,"0111302,0119905,0119999"
11886177,2,,SITIO,MARIO,S/N,RURAL,16420000,SP,6643,0151202,0151201
13358169,2,,FAZENDA,ALVORADA,S/N,ZONA RURAL,14350000,SP,6119,0113000,
11231919,2,,SITIO,SANTA RITA II,S/N,ZONA RURAL,15110000,SP,6451,0113000,"0151201,0111302,0139306,0151202"
11940165,2,,ESTRADA MUNICIPAL,IBITINGA-SENTIDO BAIRRO TAQUARA DO REINO,S/N,TAQUARA DO REINO,14940000,SP,6493,0113000,
12558561,2,,FAZENDA,SANTA NEUZA,SN,RURAL,17360000,SP,7195,0151201,"0111302,0115600,0210101"
13754663,2,,FAZENDA,SANTO ANTONIO III,S/N,IBIRAREMA AO PORTO DE CEDRO,19940000,SP,6491,0115600,"0111302,0111303"
10986048,2,,SITIO,SAO SEBASTIAO,SN,JIBOIA,13400970,SP,6875,0151201,
10212422,2,,PRACA,DA REPUBLICA 386,386,REPUBLICA,01045906,SP,7107,7020400,6462000
10839938,2,,SITIO,SANTA LUCIA,SN,ZONA RURAL,17930000,SP,7203,0113000,
09285312,2,,SITIO,SAO SEBASTIAO,S/N,DA GRAMA,18230000,SP,7105,0151201,"0151202,0111302,0115600,0111303,0119905"
09561786,2,,ESTRADA,VELHA DE RIO CLARO-IPEUNA KM 12,S/N,RURAL,13537000,SP,6523,0113000,
13574594,2,BK - FILIAL TIVOLI KSK,RUA,DO OSMIO,699,JARDIM MOLLON,13456625,SP,7017,5611203,
10549209,2,,SITIO,RIO NOVO,S/N,RURAL,18775000,SP,7259,0115600,0111302
09320935,2,,ESTANCIA,PRIMAVERA,SN,ZONA RURAL,15640000,SP,7085,0151201,
10888248,2,,ESTANCIA,BELA NAPOLI,S/N,NOVA VIDA,16800000,SP,6703,0113000,
09474300,2,MINISTERIO TEMPO DE COLHER,AVENIDA,AURORA FORTI NEVES G1/2/3/5,1110,CENTRO,15400000,SP,6779,9491000,9493600
12443417,2,,SITIO,SANTA BARBARA,S/N,SANTA BARBARA,13600970,SP,6165,0113000,
13047215,1,,SITIO,IGREJINHA,S/N,MIMOSA,16850000,SP,6631,0151201,0113000
11241269,2,,FAZENDA,SAO PEDRO,SN,BOCAINA,15420000,SP,6459,0113000,
12579004,2,,SITIO,RIO NOVO,S/N,AGUA DA SANTA ROSA,19960000,SP,6297,0113000,0115600
12454331,2,FAZENDA MINA DO OURO,ESTRADA MUNICIPAL,"MINA DO OURO, KM 16",S/N,ZONA RURAL,14680000,SP,6603,0161003,0113000
09525900,2,,ESTRADA,DO COPIUVA,566,VILA DA OPORTUNIDADE,06330000,SP,6313,4711302,"4722901,4721102,4753900,4763603,4762800,4759801"
10372895,2,,AVENIDA,BRIGADEIRO FARIA LIMA,2894,JARDIM PAULISTANO,01452000,SP,7107,8230001,"7311400,5911102,5911199"
12211160,2,,CALCADA,DAS SAMAMBAIAS,16/22,CONDOMINIO CENTRO COMERCIAL ALPHAVILLE,06453026,SP,6213,8299702,"6463800,8291100,8299799"
12392365,2,,FAZENDA,MORRO ALTO,S/N,RIBEIRAO,12530000,SP,6373,0151201,"0151202,0121101"
10483781,2,EXP PARKING ATIBAIA,AVENIDA,DA SAUDADE,33,CENTRO,12940560,SP,6181,5223100,"8020001,8299799,6311900,6201501,6399200,7810800,6463800,4329104"
13700647,2,,SITIO,ESTANCIA PRISCILA,S/N,AGUA DO BARREIRO,19700000,SP,6811,0115600,0111302
09479883,2,,SITIO,BOA VISTA,SN,DOS GODINHOS,13400970,SP,6875,0113000,
