cnpj_basico,identificador_matriz_filial,nome_fantasia,tipo_logradouro,logradouro,numero,bairro,cep,uf,municipio,cnae_fiscal_principal,cnae_fiscal_secundaria
14310577,1,,RUA,JOAQUIM FLORIANO,N.466,ITAIM BIBI,04534002,SP,7107,4299599,"4399199,8211300"
14927263,1,COMINOESTE,AVENIDA,POMPEIA,4490,PIRACICAMIRIM,13420557,SP,6875,4611700,
15181688,1,,AVENIDA,DOUTOR ANTONIO DE SOUZA NETTO,362,APARECIDINHA,18087210,SP,7145,2399199,"4930201,4930202,5211799,5250805,7020400"
16624611,2,EMPRESA GONTIJO,RUA,CONCRETEX,703,CUMBICA,07232050,SP,6477,4922102,"4922101,4922103,4930202,4929901,4929902,4921301"
17158999,1,,RUA,JOAO DAPRAT,431,ANCHIETA,09600010,SP,7075,2949299,"2599399,6462000,6463800,7020400"
17285479,1,,RUA,HADDOCK LOBO,1459,CERQUEIRA CESAR,01414003,SP,7107,0151201,"0111302,0111399,0115600,0151202"
17361908,1,AMERICANA,ALAMEDA,NHAMBIQUARAS,747,INDIANOPOLIS,04090011,SP,7107,6462000,
14911473,2,,AVENIDA,PAULISTA - EDIFICIO SANTA FELIPHA,688,BELA VISTA,01310100,SP,7107,4110700,"6810201,6810202,4120400"
16980997,1,,RUA,ITAQUERA,90,PACAEMBU,01246030,SP,7107,9491000,8800600
17162082,2,PEDREIRA TIETE,RODOVIA,ELIZEU MONTENEGRO,SN,ZONA RURAL,16058703,SP,6155,4212000,
17184037,2,BANCO MERCANTIL,AVENIDA,DOUTOR NELSON D'AVILA,122,CENTRO,12245031,SP,7099,6422100,
17233974,2,,RUA,VISCONDE DE INHAUMA,468,CENTRO,14010902,SP,6969,2592602,
17770702,2,NUCLEO CULTURA SAO JERONIMO EMILIANI,RUA,RODRIGUES DA COSTA,10,JARDIM VILA RICA,09170120,SP,7057,8800600,
16624611,2,,RUA,WILLIAN GARCIA,52,JARDIM ACLIMACAO,13180625,SP,7149,4922102,
16624611,2,,AVENIDA,GETULIO VARGAS,1001,VILA NOVA SANTANA,19807130,SP,6179,7990200,
16404287,2,SPP-NEMO DISTRIBUICAO NACIONAL,RUA,JOSE MARTINS FERNANDES,601,BATISTINI,09843400,SP,7075,4647801,"4646002,4649499,4686901"
17354911,2,COTACAO CAMPINAS MORAES SALES,AVENIDA,DR. MORAES SALES,711,CENTRO,13010001,SP,6291,6612602,6619399
17469701,2,,AVENIDA,WALDOMIRO MAZZOCATO,376,DIST INDL DOUTOR ULYSSES DA SILVEIRA GUIMARAES,15092604,SP,7097,4685100,4679604
18260422,2,NACIONAL EXPRESSO,RODOVIA,BR 153,SN,FELICIDADE,15042102,SP,7097,4921302,
16670085,2,LOCALIZA RENT A CAR,AVENIDA,GUILHERME CAMPOS,500,PARQUE DOM PEDRO SHOPPING,13087901,SP,6291,7711000,
16624611,2,,RUA,SALVADOR DE MEDEIROS,196,SAO MIGUEL PAULISTA,08010020,SP,7107,7990200,
16670085,2,LOCALIZA RENT A CAR,AVENIDA,SAO CARLOS,2856,CENTRO,13560011,SP,7079,7711000,7820500
15392992,1,,RUA,GAVIAO PEIXOTO,749,JARDIM CALIFORNIA,14801029,SP,6163,8112500,
17692737,2,,RUA,JOAO BISSOTTO FILHO,S/N,ORTIZES,13275410,SP,7225,4399199,"0810002,0810004,0810006,2330305,4679699"
15675724,2,VITA CORA COMERCIAL,RUA,CERRO CORA,2151,VILA ROMANA,05061450,SP,7107,4110700,
16569966,2,,SITIO,SAO JOSE,S/N,FAZENDA SAO JOSE,19870000,SP,6423,0115600,0111302
14716381,1,,RUA,TREZE DE MAIO,140,CENTRO,13010070,SP,6291,6920601,
17673123,2,,RUA,ROSARIO TAKAKI,740,COMENDADOR MARIO DEDINI,13413063,SP,6875,2330305,4679699
15355260,2,ADRA - REGIONAL DO VALE,AVENIDA,BARAO DO RIO BRANCO,980,JARDIM ESPLANADA,12242800,SP,7099,8800600,9493600
14716488,1,KARYN BRAVO PRODUCOES JORNALISTICAS,RUA,AMBRIZETE,180,JARDIM FONTE DO MORUMBI,05704020,SP,7107,5911199,
15411980,2,,SITIO,SANTA FE - GLEBA B,SN,ZONA RURAL,18670000,SP,6171,0113000,
14726077,1,,RUA,EDUARDO LEOPOLDO,290,VILA GUILHERME,02050040,SP,7107,6462000,6822600
17609256,2,,ALAMEDA,JAUAPERI,1449,MOEMA,04523015,SP,7107,4329103,
14675335,2,,FAZENDA,AMELIA I,S/N,ZONA RURAL,15155000,SP,6591,0113000,
14998371,2,J MACEDO S/A,AVENIDA,DAS NACOES UNIDAS,14401,VILA GERTRUDES,04794000,SP,7107,7020400,
18090691,2,,ESTRADA MUNICIPAL,ARACATUBA-PRATA KM 09,S/N,CHACARAS CALIFORNIA,16026940,SP,6155,0151201,0152102
17354911,2,COTACAO SHOPPING OSASCO,RUA,TENENTE AVELAR PIRES DE AZEVEDO,81,CENTRO,06016060,SP,6789,6612602,6619399
17354911,2,COTACAO SHOPPING PAULISTA,RUA,TREZE DE MAIO,1947,BELA VISTA,01327001,SP,7107,6612602,6619399
16423122,2,,ESTRADA MUNICIPAL,PONTAL A CANDIA,SN,RURAL,14180000,SP,6905,0113000,0115600
16423122,2,,ESTRADA MUNICIPAL,PONTAL A CANDIA,SN,RURAL,14180000,SP,6905,0113000,0115600
17072632,1,,ESTRADA,MUNICIPAL DO LENCOL,S/N,BRACO DO TURVO,11940000,SP,6593,0121101,
16404287,2,SUZANO PAPEL E CELULOSE,FAZENDA,CALIFORNIA,S/N,ZONA RURAL,18605990,SP,6249,0210107,"0210101,0230600"
16404287,2,SUZANO PAPEL E CELULOSE,FAZENDA,SANTA REGINA,S/N,ZONA RURAL,18590000,SP,6237,0210107,"0210101,0230600"
16404287,2,SUZANO PAPEL E CELULOSE,FAZENDA,SIRIEMA,S/N,ZONA RURAL,13530000,SP,6573,0210107,"0210101,0230600"
16404287,2,SUZANO PAPEL E CELULOSE,FAZENDA,SANTA IZABEL DO C ALTO,S/N,ZONA RURAL,18460000,SP,6565,0210107,"0210101,0230600"
16670085,2,LOCALIZA,AVENIDA,DOUTOR NELSON D'AVILA,402,JARDIM SAO DIMAS,12245031,SP,7099,7711000,
16404287,2,SUZANO PAPEL E CELULOSE,FAZENDA,TRES PINHEIROS,S/N,ZONA  RURAL,18620000,SP,6145,0210107,"0210101,0230600"
14717810,1,,AVENIDA,DOUTOR JOSE ERMIRIO DE MORAES,2411,CENTRO,18400510,SP,6549,8599601,
13847634,1,,SITIO,ELDORADO,S/N,GUARAPO,18285000,SP,6333,0111302,0155504
13847641,1,,SITIO,NOSSA SENHORA APARECIDA,S/N,NEGRINHA,17730000,SP,6821,0151202,
13847849,1,,RUA,MAUA,51,LUZ,01028000,SP,7107,8411600,
13848001,1,,FAZENDA,DO  SAPE,S/N,SAPE,12630000,SP,6273,0151202,"0151201,0152102"
13848268,1,,RODOVIA,"FABIO TALARICO, FRANCA  A SAO JOSE DA BELA VISTA, KM 16 ESQ",S/N,RURAL,14400010,SP,6425,0134200,
13848538,1,DENTOMAX ODONTOLOGIA,AVENIDA,JOAO AMADEU,2405,CENTRO,15700082,SP,6597,8630504,
13848776,1,,ESTANCIA,NOSSA SENHORA APARECIDA,S/N,PROJETO DE ASSENTAMENTO SANTA ISABEL,16920000,SP,6321,0151202,0119999
13849092,1,,ESTRADA,MUN. OURS. AO BAIRRO CORREGO FUNDO KM 12,S/N,CORREGO FUNDO,19920000,SP,7009,0151201,0151202
13851804,1,,ESTRADA,BAIRRO DOS GODOY,S/N,PASSA TRES,12930000,SP,2955,0119999,0121101
13851907,1,,ESTRADA,ORLANDIA/NUPORANGA KM 3,SN,RURAL,14620000,SP,6787,0119999,
13855016,1,,RUA,AQUINOS,111,AGUA BRANCA,05036070,SP,7107,7112000,4399101
13855138,1,,RUA,CALDAS NOVAS,50,BETHAVILLE I,06404301,SP,6213,6911701,
13855342,1,MOURA BRAATZ ENGENHARIA,RUA,JOSE GERALDO ALVES CURSINO,235,VELEIROS,04773120,SP,7107,4120400,"4313400,4399101,4213800,7732201,4311801,4222701,7112000"
13857601,1,,RUA,PROFESSOR VAHIA DE ABREU,172,VILA OLIMPIA,04549000,SP,7107,8219999,8299799
13859232,1,,RUA,LORD COCKRANE,640,IPIRANGA,04213001,SP,7107,8112500,
13859706,1,AUDAX VISION,RUA,ANSELMO MANARELLI,180,SANTANA,16050590,SP,6155,4649499,"3250707,4774100"
13860552,1,,CHACARA,SAO BENEDITO,SN,ZONA RURAL,17580000,SP,6901,0151201,
13860565,1,,SITIO,FERREIRA DOS MATOS,SN,FERREIRA DOS MATOS,18315000,SP,3057,0119999,
13852680,2,,SITIO,SANTA MARCIA,S/N,AGUA DA ALEGRIA,19600000,SP,6945,0115600,0111302
13860585,1,,CHACARA,VILAREJO  POR DO SOL,SN,AGUA DO BAIXADAO,19806062,SP,6179,0121101,0151202
13860615,1,,SITIO,PADILHA,S/N,AGUA FRIA,18310000,SP,6453,0111302,"0116499,0119905"
13860923,1,,SITIO,FAUSTO MANTOVANI,S/N,SANTA CRUZ,13960000,SP,7143,0151202,0134200
13861014,1,,RUA,LUIZ ALBARO RODRIGUES DE OLIVEIRA,327,JARDIM SAO JOSE,13310300,SP,6579,9319101,9319199
13861035,1,,RUA,BARATA RIBEIRO,414,BELA VISTA,01308000,SP,7107,8630503,
13861481,1,,SITIO,"JARAGUA - ESTRADA MUNICIPAL DO BAIRRO DO CERRO, KM 12",S/N,CERRO,18250000,SP,6471,0151201,
13862277,1,,SITIO,SAO LUIZ,S/N,BOA VISTA DE CIMA,17260000,SP,6541,0151201,
13862282,1,,SITIO,SANTA LUZIA,S N,CAPAO GROSSO,14960000,SP,6771,0113000,
13862722,1,,ESTRADA,ESTRADA DE SERVIDAO,S/N,CONGONHAS,18225000,SP,7123,0111302,"0119905,0119906,0119908,0133404,0132600,0151201,0154700"
13863452,1,CONDOMINIO RESIDENCIAL PAULO FRONTIM,RUA,PAULO FRONTIM,255,ITAQUERA,08220390,SP,7107,8112500,
13863492,1,,RUA,CLEMENTE ALVARES,119,LAPA,05074050,SP,7107,7820500,7810800
13863713,1,CONDOMINIO EDIFICIO MILLENIUM OFFICES,RUA,TIRADENTES,75,SANTA TEREZINHA,09780000,SP,7075,8112500,
13865344,1,,PRACA,SANTO AGOSTINHO,70,ACLIMACAO,01533070,SP,7107,7490104,"6319400,6190602,6190601,6311900,9511800,8599604,8230001,6462000,4930202,5250804"
13865695,1,,CHACARA,PINHAL,S/N,PINHAL,13480970,SP,6639,0131800,"0115600,0119906,0116402"
13865912,1,FUNDO MUNICIPAL DE SAUDE DE TAPIRAI,RUA,AUGUSTO MORITZ,305,CENTRO,18180000,SP,7171,8660700,8690901
13867533,1,EV CONSULTORIA E HOLDING,PRACA,DOS EXPEDICIONARIOS,19,GONZAGA,11065500,SP,7071,8599604,"6462000,6463800,7020400,7112000"
13869934,1,,RUA,VIGARIO JOAO JOSE RODRIGUES,21,CENTRO,13201001,SP,6619,6810201,"6319400,6810202,8230001"
13871554,1,,AVENIDA,ROQUE PETRONI JUNIOR,850,JARDIM DAS ACACIAS,04707000,SP,7107,6462000,"6810202,7740300,8211300"
13874507,1,FUNDO MUNICIPAL DE SAUDE DE MIRANTE DO PARANAPANEMA,RUA,DR. NOBORU KASAE,854,CENTRO,19260000,SP,6705,8411600,
13874859,1,,RUA,SILVIA,118,BELA VISTA,01331010,SP,7107,6462000,
13876878,1,,AVENIDA,BRIGADEIRO LUIS ANTONIO,487,BELA VISTA,01317000,SP,7107,6810202,"6810201,6821801,6822600"
13881129,1,,RUA,JOAO FERREIRA DE CAMARGO,480,TAMBORE,06460060,SP,6213,1813001,"1813099,1731100,5811500,5812301,5813100,4663000"
13881309,1,,SITIO,YACHIYO,S/N,RIBEIRAO GRANDE,12400970,SP,6861,0151202,0151201
13881319,1,,ESTRADA,RANCHO BATTAGLIA,S/N,RIO DA VARZEA,18580000,SP,6851,0155501,0151201
13881331,1,,SITIO,CANELA BRANCA,SN,RIO PRETO,11910000,SP,7137,0112199,"0133401,0322101,0133402"
13881777,1,,SITIO,"JARAGUA - ESTRADA MUNICIPAL DO BAIRRO DO CERRO, KM 12",S/N,CERRO,18250000,SP,6471,0151201,
13881787,1,,SITIO,SANTA TEREZA,S/N,BAIRRO DOS ANTUNES,17201970,SP,6607,0113000,0151201
13881798,1,,SITIO,BELA VISTA,SN,AGUA BRANCA,13835000,SP,6345,0151202,"0159801,0119999,0121101,0131800,0154700,0155501,0155505"
13881857,1,,SITIO,BOA ESPERANCA,S/N,FAZENDINHA,19360000,SP,7055,0151201,0151202
13882206,1,PMDB,RUA,SAO PAULO,3-01,CENTRO,18935000,SP,7253,9492800,
13882421,1,,SITIO,LARANJAL,S/N,RIBEIRAO DAS ALMAS,12010970,SP,7183,0151202,0151201
13882461,1,,FAZENDA,CORRENTEZA TORTA - QUINHAO SETE,S/N,DO RIO DO PEIXE,18620000,SP,6145,0151202,0151201
13882706,1,,SITIO,SAO JOSE,S/N,ZONA RURAL,13500970,SP,6979,0113000,0151201
13883157,1,,SITIO,SAO PAULO,SN,RETIRO,18200999,SP,6547,0121101,
13883661,1,,ACESSO,EST BARRA DO CHAPEU AO BAIRRO,SN,BAIRRO PINHALZINHO,18325000,SP,2997,0111302,0119905
13884954,1,,FAZENDA,DOS CAMOLESI,KM 1,CORREGO DO FORTE,15630000,SP,6839,0113000,"0111302,0139306"
13885743,1,,AVENIDA,NICOLA DEMARCHI,1500,DEMARCHI,09820655,SP,7075,4619200,"4511103,4530701,4635403,4635499,4639701,4644301,4645101,4646001,4649408,4649499,4662100,4663000,4669999,4679604,4679699,4686902,4689399,5250804,7020400"
13885757,1,,ESTRADA,DE ITAOCA AO BAIRRO PAVAO,SN,BARRA DO PALMITAL,18360000,SP,3053,0121101,0119908
13886786,1,IG. EV. CONGREGACIONAL AGUA DA VIDA EM GUARAREMA,ESTRADA MUNICIPAL,MARIO ALVES PEREIRA,641,LAGOA NOVA,08900000,SP,6467,9491000,
13887296,1,,ESTRADA,CAMANDUCAIA,4440,PEDREGULHO,12289381,SP,6271,0151202,"0151201,0152102,0112199"
13887426,1,,RUA,ORSINI DIAS AGUIAR,292,JARDIM ALVORADA,15020070,SP,7097,8630504,
13888308,1,,SITIO,EUDOCIA 1,S/N,GODINHOS,13400970,SP,6875,0119999,
13889081,1,,CHACARA,AGRIMAX,SN,CONFUSAO,19600000,SP,6945,0151202,0111302
13890548,1,SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL,AVENIDA,JOSE BONIFACIO,1.341,CENTRO,17900000,SP,6389,8800600,
13890747,1,CONDOMINIO RESIDENCIAL,RUA,ANDRADE FERNANDES,157,VILA MADALENA,05449050,SP,7107,8112500,
13890933,1,EXPAND COBRANCAS,RUA,GUERINO CHECHIM,152,CENTRO,17180000,SP,6483,8291100,
13891223,1,,RUA,SAIAO LOBATO,50,BRAS,03012030,SP,7107,4642701,"4649405,4759801,4781400"
13891451,1,,AVENIDA,PRESIDENTE CASTELO BRANCO,349,SUMARE,11661300,SP,6311,8630502,"8621601,8622400,8640205,8640204,8640206"
13892067,1,FED-IPA DE BAURU,RODOVIA,COMANDANTE JOAO RIBEIRO DE BARROS,KM 349,DISTRITO INDUSTRIAL III,17064868,SP,6219,8411600,
13892279,1,R&D GESTEC,RUA,CRATO,966,PARQUE INDUSTRIAL,12235580,SP,7099,4221905,"8211300,9511800,3314718"
13893005,1,,SITIO,MIYAMOTO,S/N,TANQUE,12940970,SP,6181,0122900,
13893745,1,,SITIO,TRES BARRAS,S/N,ZONA RURAL,13670000,SP,7051,0151201,
13893923,1,,SITIO,SAO BENEDITO,S/N,DAS PEROBAS,18919899,SP,7029,0115600,0111302
13894082,1,,FAZENDA,CRISTALINA,S/N,RIBEIRO DO VALE,16700000,SP,6465,0151203,
13895033,1,,RUA,DOUTOR BRASILIO MACHADO,421,SANTA CECILIA,01230010,SP,7107,6492100,"6810202,7711000,8291100"
