cnpj_basico,identificador_matriz_filial,nome_fantasia,tipo_logradouro,logradouro,numero,bairro,cep,uf,municipio,cnae_fiscal_principal,cnae_fiscal_secundaria
19215522,2,,ESTRADA,GETULINA A TUPA,S/N,SANTA AMERICA,16457899,SP,6441,0115600,"0113000,0116401,0151201,0152102,0154700,4622200,4632001,4930202,6810202"
21364304,2,,RUA,DO ACRE,299,VILA BERTIOGA,03181100,SP,7107,5611203,"4729699,5620102,5620104"
21170646,2,,RODOVIA,FELICIANO SALLES CUNHA,S/N,ZONA RURAL,15138899,SP,6707,5211701,"4930202,5211799"
19948325,2,,ESTRADA,ESTRADA DO SERTAOZINHO,1265,SERTAOZINHO,12245970,SP,7099,0151201,
20862004,2,CONDOMINIO EDIFICIO CITTA DI PERUGIA,RUA,GONCALVES DIAS,625,ITAGUA,11688644,SP,7209,4110700,
22510185,2,,RUA,DONA ALEXANDRINA,1717,VILA MONTEIRO (GLEBA I),13560290,SP,7079,8640205,"8640204,8640206,8640207"
22794303,2,,FAZENDA,IROSHI IMADA II,S/N,ZONA RURAL,15378899,SP,6849,0113000,
20105945,2,,SITIO,MALHADOURO,SN,ZONA RURAL,14570000,SP,6265,0113000,"0111302,0115600"
19522075,2,,PRACA,JOAO DURAN ALONSO,34,CIDADE MONCOES,04571070,SP,7107,7490104,"6201501,6311900,7020400,8299799"
21212688,2,COMERCIAL ALVORADA,AVENIDA,RAIMUNDO PEREIRA DE MAGALHAES,18500,VILA SANTA CRUZ,05220000,SP,7107,4639701,"4635499,4649408,4723700,4729699,4789005"
18607602,2,,AVENIDA,BARAO DE MAUA,3098,JARDIM MARINGA,09340440,SP,6689,4671100,"1610205,3101200,4672900,4744002,4930201,4930202"
20848709,2,,SITIO,TROPICAL,S/N,ZONA RURAL,14780970,SP,6209,0113000,"0115600,0116401"
21660838,2,,AVENIDA,PRESIDENTE COSTA E SILVA,815,BOQUEIRAO,11701005,SP,6921,4754701,
22065129,2,AGROMORO FERTILIZANTES LTDA,RUA,EZEQUIEL FREIRE,192,SANTANA,02034000,SP,7107,4683400,
22776278,2,,SITIO,BELA VISTA III,S/N,CALAZANS,17950000,SP,6763,0113000,
22595153,2,,RUA,PAULO VARCHAVTCHIK,200,APARECIDINHA,18087190,SP,7145,5620101,
19331732,2,,AVENIDA,PAULISTA,1471,BELA VISTA,01311927,SP,7107,8690999,
20803083,2,IG EV ASSEMBLEIA DEUS M MADUREIRA EM LORENA J N HORIZON,RUA,HENRIQUE MARCONDES DE MOURA,347,JARDIM NOVO HORIZONTE,12605690,SP,6645,9491000,
19761633,2,,FAZENDA,CACHOERINHA,S/N,ZONA RURAL,14490000,SP,6973,0113000,
18830738,2,,ESTRADA,MUNICIPAL DE COROADOS A GLICERIO,KM 8,RETA GRANDE,16260000,SP,6351,0113000,0115600
19877065,2,,AVENIDA,PREFEITO BENEDITO PAULA LEITE JUNIOR,8,BACAETAVA,18560000,SP,6521,0121101,0119999
21198449,2,,AVENIDA,"AVENIDA THOMAZ ALBERTO WHATELY,",5105,JARDIM JOQUEI CLUBE,14078901,SP,6969,5620101,"1099699,5611201,5611203,5620102,5620103,7020400"
19548228,2,,AVENIDA,DAS NACOES UNIDAS,12901,BROOKLIN PAULISTA,04578910,SP,7107,7312200,
19159351,2,,SITIO,SANTO ERNESTO,SN,RURAL,13400970,SP,6875,0113000,
21943976,2,,FAZENDA,PALMITAL,SN,AREA RURAL DE JALES,15709899,SP,6597,0113000,
22530450,2,,RODOVIA,MARECHAL CANDIDO EONDON B STO ANT DE SOROCABA,SN,CAPIVARA,18603970,SP,6249,0152102,"0151201,0153901,0322101"
19794911,2,,FAZENDA,BOM JESUS II,S/N,ZONA RURAL,19430000,SP,6675,0151201,
21565450,2,,AVENIDA,ELIAS YAZBEK,567,PARQUE FRANCISCO RIZZO,06803275,SP,6401,4530703,"4520004,4520007,4530706"
21150228,2,,SITIO,ESTRELA,S/N,ZONA RURAL,13644899,SP,6887,0115600,"0113000,0111302,0112101,0111399"
18723641,2,,RODOVIA,WASHINGTON LUIZ SAIDA P/ CORUMBATAI SITIO PLANALTO DA SERRA,S/N,ZONA RURAL,13540000,SP,6355,0115600,"0111302,0113000"
22023454,2,FRIGOBIP,ESTRADA,MUNICIPAL BRC KM 7,S/N,"PALMITAL, ZONA RURAL",17279899,SP,6245,1012101,
22093953,2,,AVENIDA,JOAQUINA RAMALHO,676,VILA GUILHERME,02065000,SP,7107,4530705,"4520001,4520004,4530703,7490104"
22093953,2,,RUA,MARECHAL DEODORO,2785,CENTRO,09710193,SP,7075,4530705,"4520001,4520004,4530703,7490104"
18532230,2,REAQT WATER TECHNOLOGIES,RUA,DOUTOR LADISLAU RETI,958,PARQUE ALEXANDRE,06714150,SP,6361,3600601,"2829199,3314710,3701100,4221903,4322301,7490199"
22934503,2,,RODOVIA,ENGENHEIRO ERMENIO DE OLIVEIRA PENTEADO,S/N,ITAICI,13340600,SP,6511,5223100,
18494015,2,,SITIO,PROGRESSO V,SN,COCRAN,17600970,SP,7201,0111302,"0116401,0119906,0119999,0151201"
22006844,2,,SITIO,SAO JOAO,S/N,ZONA RURAL,17880000,SP,6533,0116401,"0115600,0113000"
21487894,2,ALFAJORES ODARA,ESTRADA,SANTA CLARA,150,MARIA IMACULADA,06843000,SP,6401,4639701,
22714159,2,,CHACARA,RANCHO PREMIUM,SN,AREA RURAL BANCO DA TERRA,19839899,SP,6395,0151201,0151202
18599929,2,,ESTANCIA,ESPERANCA,S/N,AGUA DO CAMILO,19649899,SP,6499,0115600,"0111302,0151201,0151202,0151203"
19619138,2,,ESTRADA,LINS A SABINO,S/N,AREA RURAL DE LINS,16419899,SP,6643,0139306,
21198449,2,FILIAL CRAVINHOS-SP ADITEK,RUA,SANTO PIERINI,3,DISTRITO INDUSTRIAL,14140000,SP,6363,5620101,"1099699,5611201,5611203,5620102,7020400"
22497171,2,,SITIO,BOA SORTE,S/N,ZONA RURAL,19849899,SP,6677,0115600,"0111302,0119906,0151201"
18993559,2,,FAZENDA,JACARANDA,SN,AREA RURAL DE TABAPUA,15884899,SP,7153,0116401,
18784087,2,,AVENIDA,DA AMIZADE,567,JARDIM ADELIA II,13455090,SP,7017,4729699,4763602
20374988,2,,AREA,SANTO ANTONIO DO VIRADOURO,SN,AREA RURAL DE VOTUPORANGA,15515899,SP,7245,0113000,
18462656,2,,RODOVIA,VICINAL ZACARIAS A BURITAMA,KM 15,SAO JERONIMO,15265000,SP,2973,0113000,
21457788,2,ESTERILIZA FILIAL COTIA,AVENIDA,ESTACIO DE SA,1891,GRANJA VIANNA,06706005,SP,6361,8129000,"3312103,4618402,4645101,4645103,4773300,4789005,4789099,7739002,8610101,8610102,8630501,8630502"
22685030,2,,AVENIDA,"AVENIDA PRESIDENTE KENNEDY, 1500",1500,RIBEIRANIA,14096901,SP,6969,4713004,"4752100,4755502,4755503,4759801,4759899,4762800,4763601,4772500,4781400,4782201,4782202,4783102,4789001,4789008,4789099,6619302,7490104,8299799"
